"Plot Title: 2B_Swartboschkloof"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20116797, SEN S/N: 20116797, LBL: Temp)","Event, units (LGR S/N: 20116797, SEN S/N: 20116797, LBL: Rainfall)"
1,05/26/21 12:40:12 PM,25.708,0.000
2,05/26/21 12:42:59 PM,,0.254
3,05/26/21 12:43:07 PM,,0.508
4,05/26/21 12:43:16 PM,,0.762
5,05/26/21 12:43:24 PM,,1.016
6,05/26/21 12:43:33 PM,,1.270
7,05/26/21 12:43:41 PM,,1.524
8,05/26/21 12:43:50 PM,,1.778
9,05/26/21 12:43:58 PM,,2.032
10,05/26/21 12:44:08 PM,,2.286
11,05/26/21 12:44:15 PM,,2.540
12,05/26/21 12:44:25 PM,,2.794
13,05/26/21 12:44:33 PM,,3.048
14,05/26/21 12:44:42 PM,,3.302
15,05/26/21 12:44:50 PM,,3.556
16,05/26/21 12:44:59 PM,,3.810
17,05/26/21 12:45:08 PM,,4.064
18,05/26/21 12:45:17 PM,,4.318
19,05/26/21 12:45:25 PM,,4.572
20,05/26/21 12:45:34 PM,,4.826
21,05/26/21 12:45:42 PM,,5.080
22,05/26/21 12:45:50 PM,,5.334
23,05/26/21 12:45:58 PM,,5.588
24,05/26/21 12:46:07 PM,,5.842
25,05/26/21 12:46:15 PM,,6.096
26,05/26/21 12:46:24 PM,,6.350
27,05/26/21 12:46:32 PM,,6.604
28,05/26/21 12:46:40 PM,,6.858
29,05/26/21 12:46:48 PM,,7.112
30,05/26/21 12:46:57 PM,,7.366
31,05/26/21 12:47:05 PM,,7.620
32,05/26/21 12:47:14 PM,,7.874
33,05/26/21 12:47:22 PM,,8.128
34,05/26/21 12:47:31 PM,,8.382
35,05/26/21 12:47:39 PM,,8.636
36,05/26/21 12:47:48 PM,,8.890
37,05/26/21 12:47:55 PM,,9.144
38,05/26/21 12:48:04 PM,,9.398
39,05/26/21 12:48:13 PM,,9.652
40,05/26/21 12:48:21 PM,,9.906
41,05/26/21 12:48:29 PM,,10.160
42,05/26/21 12:48:38 PM,,10.414
43,05/26/21 12:48:46 PM,,10.668
44,05/26/21 12:48:55 PM,,10.922
45,05/26/21 12:49:03 PM,,11.176
46,05/26/21 12:49:12 PM,,11.430
47,05/26/21 12:49:20 PM,,11.684
48,05/26/21 12:49:29 PM,,11.938
49,05/26/21 12:49:37 PM,,12.192
50,05/26/21 12:49:46 PM,,12.446
51,05/26/21 12:49:54 PM,,12.700
52,05/26/21 12:50:03 PM,,12.954
53,05/26/21 12:50:11 PM,,13.208
54,05/26/21 12:50:20 PM,,13.462
55,05/26/21 12:50:28 PM,,13.716
56,05/26/21 12:50:37 PM,,13.970
57,05/26/21 12:50:45 PM,,14.224
58,05/26/21 12:50:54 PM,,14.478
59,05/26/21 12:51:02 PM,,14.732
60,05/26/21 12:51:11 PM,,14.986
61,05/26/21 12:51:19 PM,,15.240
62,05/26/21 12:51:28 PM,,15.494
63,05/26/21 12:51:36 PM,,15.748
64,05/26/21 12:51:45 PM,,16.002
65,05/26/21 12:51:53 PM,,16.256
66,05/26/21 12:52:01 PM,,16.510
67,05/26/21 12:52:10 PM,,16.764
68,05/26/21 12:52:19 PM,,17.018
69,05/26/21 12:52:27 PM,,17.272
70,05/26/21 12:52:36 PM,,17.526
71,05/26/21 12:52:44 PM,,17.780
72,05/26/21 12:52:53 PM,,18.034
73,05/26/21 12:53:01 PM,,18.288
74,05/26/21 12:53:10 PM,,18.542
75,05/26/21 12:53:18 PM,,18.796
76,05/26/21 12:53:27 PM,,19.050
77,05/26/21 12:53:35 PM,,19.304
78,05/26/21 12:53:44 PM,,19.558
79,05/26/21 12:53:53 PM,,19.812
80,05/26/21 12:54:02 PM,,20.066
81,05/26/21 12:54:10 PM,,20.320
82,05/26/21 12:54:19 PM,,20.574
83,05/26/21 12:54:27 PM,,20.828
84,05/26/21 12:54:36 PM,,21.082
85,05/26/21 12:54:44 PM,,21.336
86,05/26/21 12:54:53 PM,,21.590
87,05/26/21 12:55:01 PM,,21.844
88,05/26/21 12:55:10 PM,,22.098
89,05/26/21 12:55:18 PM,,22.352
90,05/26/21 12:55:27 PM,,22.606
91,05/26/21 12:55:35 PM,,22.860
92,05/26/21 12:55:44 PM,,23.114
93,05/26/21 12:55:52 PM,,23.368
94,05/26/21 12:56:01 PM,,23.622
95,05/26/21 12:56:09 PM,,23.876
96,05/26/21 12:56:18 PM,,24.130
97,05/26/21 12:56:27 PM,,24.384
98,05/26/21 12:56:36 PM,,24.638
99,05/26/21 12:56:44 PM,,24.892
100,05/26/21 12:56:53 PM,,25.146
101,05/26/21 12:57:01 PM,,25.400
102,05/26/21 12:57:11 PM,,25.654
103,05/26/21 12:57:19 PM,,25.908
104,05/26/21 12:57:28 PM,,26.162
105,05/26/21 12:57:38 PM,,26.416
106,05/26/21 12:57:58 PM,,26.670
107,05/26/21 01:00:15 PM,,26.670
