"Plot Title: 8B_Langrivier"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 9867911)","Batt, V (LGR S/N: 9867911)","Rain (LGR S/N: 9867911)","Coupler Attached (LGR S/N: 9867911)","Host Connected (LGR S/N: 9867911)","Coupler Detached (LGR S/N: 9867911)","End Of File (LGR S/N: 9867911)"
1,2011/07/04 12:00:00,16.808,2.91,0.0,,,,
2,2011/07/04 13:00:00,15.664,2.91,,,,,
3,2011/07/04 14:00:00,14.325,2.93,,,,,
4,2011/07/04 15:00:00,13.750,2.93,,,,,
5,2011/07/04 16:00:00,10.651,2.91,,,,,
6,2011/07/04 17:00:00,10.553,2.91,,,,,
7,2011/07/04 18:00:00,10.259,2.91,,,,,
8,2011/07/04 19:00:00,9.472,2.93,,,,,
9,2011/07/04 20:00:00,9.571,2.93,,,,,
10,2011/07/04 21:00:00,9.571,2.93,,,,,
11,2011/07/04 22:00:00,9.866,2.91,,,,,
12,2011/07/04 23:00:00,9.472,2.93,,,,,
13,2011/07/05 00:00:00,9.669,2.91,,,,,
14,2011/07/05 01:00:00,9.373,2.93,,,,,
15,2011/07/05 02:00:00,9.373,2.93,,,,,
16,2011/07/05 03:00:00,10.063,2.91,,,,,
17,2011/07/05 04:00:00,9.373,2.93,,,,,
18,2011/07/05 05:00:00,8.082,2.93,,,,,
19,2011/07/05 06:00:00,7.983,2.93,,,,,
20,2011/07/05 07:00:00,7.782,2.93,,,,,
21,2011/07/05 08:00:00,7.882,2.93,,,,,
22,2011/07/05 09:00:00,9.373,2.93,,,,,
23,2011/07/05 10:00:00,8.581,2.93,,,,,
24,2011/07/05 11:00:00,22.717,2.93,,,,,
25,2011/07/05 12:00:00,22.908,2.93,,,,,
26,2011/07/05 13:00:00,22.333,2.93,,,,,
27,2011/07/05 14:00:00,23.196,2.93,,,,,
28,2011/07/05 15:00:00,23.004,2.93,,,,,
29,2011/07/05 16:00:00,15.951,2.93,,,,,
30,2011/07/05 17:00:00,12.787,2.93,,,,,
31,2011/07/05 18:00:00,10.455,2.93,,,,,
32,2011/07/05 19:00:00,6.877,2.93,,,,,
33,2011/07/05 20:00:00,8.978,2.95,,,,,
34,2011/07/05 21:00:00,8.978,2.93,,,,,
35,2011/07/05 22:00:00,9.176,2.95,,,,,
36,2011/07/05 23:00:00,9.275,2.95,,,,,
37,2011/07/06 00:00:00,9.275,2.93,,,,,
38,2011/07/06 01:00:00,8.779,2.93,,,,,
39,2011/07/06 02:00:00,8.581,2.93,,,,,
40,2011/07/06 03:00:00,8.879,2.93,,,,,
41,2011/07/06 04:00:00,8.680,2.93,,,,,
42,2011/07/06 05:00:00,8.382,2.93,,,,,
43,2011/07/06 06:00:00,8.680,2.93,,,,,
44,2011/07/06 07:00:00,8.481,2.93,,,,,
45,2011/07/06 08:00:00,9.077,2.93,,,,,
46,2011/07/06 09:00:00,9.373,2.93,,,,,
47,2011/07/06 10:00:00,5.962,2.91,,,,,
48,2011/07/06 11:00:00,21.187,2.93,,,,,
49,2011/07/06 12:00:00,23.004,2.93,,,,,
50,2011/07/06 13:00:00,24.158,2.95,,,,,
51,2011/07/06 14:00:00,23.966,2.95,,,,,
52,2011/07/06 15:00:00,22.333,2.95,,,,,
53,2011/07/06 16:00:00,13.654,2.95,,,,,
54,2011/07/06 17:00:00,12.497,2.95,,,,,
55,2011/07/06 18:00:00,11.431,2.93,,,,,
56,2011/07/06 19:00:00,11.334,2.93,,,,,
57,2011/07/06 20:00:00,9.965,2.93,,,,,
58,2011/07/06 21:00:00,5.450,2.93,,,,,
59,2011/07/06 22:00:00,10.651,2.93,,,,,
60,2011/07/06 23:00:00,10.553,2.93,,,,,
61,2011/07/07 00:00:00,10.259,2.93,,,,,
62,2011/07/07 01:00:00,11.041,2.93,,,,,
63,2011/07/07 02:00:00,11.722,2.93,,,,,
64,2011/07/07 03:00:00,11.916,2.93,,,,,
65,2011/07/07 04:00:00,11.041,2.93,,,,,
66,2011/07/07 05:00:00,7.280,2.93,,,,,
67,2011/07/07 06:00:00,4.207,2.93,,,,,
68,2011/07/07 07:00:00,9.669,2.91,,,,,
69,2011/07/07 08:00:00,12.883,2.93,,,,,
70,2011/07/07 09:00:00,12.980,2.93,,,,,
71,2011/07/07 10:00:00,14.325,2.95,,,,,
72,2011/07/07 11:00:00,26.781,2.93,,,,,
73,2011/07/07 12:00:00,28.953,2.95,,,,,
74,2011/07/07 13:00:00,25.902,2.93,,,,,
75,2011/07/07 14:00:00,24.062,2.95,,,,,
76,2011/07/07 15:00:00,26.390,2.95,,,,,
77,2011/07/07 16:00:00,16.999,2.95,,,,,
